id,longitude,latitude,order_weight,window_start,window_end,delivery_duration,small_street,fresh_product
0,2.3499,48.7494,,,,,,
1,2.36289,48.85513,173,588,662,15,1,0
2,2.38189,48.87084,370,596,709,25,1,1
3,2.35923,48.84451,204,414,495,23,0,0
4,2.33284,48.87003,240,640,743,21,0,0
5,2.37721,48.8302,485,395,508,25,0,1
6,2.34329,48.83742,369,596,660,23,1,0
7,2.38955,48.835,169,497,568,17,0,0
8,2.34969,48.82256,412,474,536,22,0,1
9,2.34124,48.89159,367,333,441,30,0,1
10,2.33612,48.89003,356,566,632,17,1,0
11,2.37977,48.86745,400,353,426,24,1,0
12,2.31502,48.85544,233,561,628,18,0,1
13,2.37158,48.87805,382,610,702,26,1,1
14,2.31706,48.84908,444,630,724,21,0,0
15,2.3505,48.84897,387,563,670,22,1,1
16,2.32354,48.88728,366,475,586,18,1,0
17,2.31685,48.85058,325,582,646,23,1,1
18,2.36144,48.87685,186,553,617,16,0,1
19,2.3156,48.84473,321,449,515,28,0,0
20,2.35972,48.81976,470,567,629,20,0,1
21,2.36725,48.89211,460,520,614,30,1,1
22,2.36983,48.85805,144,526,621,24,1,0
23,2.35569,48.85193,464,524,601,22,1,0
24,2.36042,48.89353,434,434,497,20,0,1
25,2.33359,48.8854,213,593,698,30,0,0
26,2.33137,48.89124,448,648,721,28,1,0
27,2.35285,48.87241,345,354,414,17,0,0
28,2.38651,48.84074,491,400,490,26,0,1
29,2.32279,48.88693,200,449,520,22,0,1
30,2.32714,48.88872,429,462,562,15,1,0
31,2.32166,48.83715,194,442,561,22,0,0
32,2.32432,48.84718,246,347,453,29,1,1
33,2.3696,48.84166,223,599,716,28,1,1
34,2.33269,48.86016,266,373,457,22,0,0
35,2.38882,48.86727,274,497,611,27,0,0
36,2.35353,48.87589,271,365,441,17,1,1
37,2.38337,48.87558,276,513,576,29,1,1
38,2.36162,48.86642,310,511,620,27,1,1
39,2.34195,48.83774,400,312,431,22,1,1
40,2.36609,48.87492,266,358,418,18,0,1
41,2.35385,48.88568,370,395,471,22,1,0
42,2.35166,48.84691,448,452,570,16,0,1
43,2.345,48.82954,193,532,651,25,1,1
44,2.32261,48.87758,308,441,516,22,1,0
45,2.32922,48.89121,125,559,668,29,0,0
46,2.32739,48.87643,218,637,709,29,1,1
47,2.32265,48.89325,251,586,653,15,1,1
48,2.33578,48.85088,381,637,718,19,0,0
49,2.38836,48.83672,319,585,645,23,1,1
50,2.38124,48.86482,258,447,530,22,0,1
51,2.3687,48.8218,220,372,482,24,0,0
52,2.36044,48.87377,449,315,382,27,0,0
53,2.3281,48.83154,144,376,443,30,0,1
54,2.36447,48.86237,377,397,471,27,1,0
55,2.3154,48.84475,289,371,471,21,1,1
56,2.34263,48.85457,346,486,599,25,1,1
57,2.35006,48.85506,401,343,462,18,0,1
58,2.3518,48.88916,429,499,603,25,0,1
59,2.36885,48.83138,439,425,535,19,0,0
60,2.36764,48.82193,278,491,601,29,1,0
61,2.3636,48.86876,371,345,416,18,1,0
62,2.34237,48.8378,284,460,576,18,0,0
63,2.38204,48.86864,232,355,452,23,0,0
64,2.35904,48.85129,345,375,445,25,0,0
65,2.38854,48.86495,436,487,562,18,1,0
66,2.37119,48.88077,458,337,438,28,0,0
67,2.33647,48.88206,267,522,641,28,1,0
68,2.36943,48.83831,229,391,480,30,0,1
69,2.38107,48.84976,362,350,453,30,0,1
70,2.33304,48.87613,444,320,427,16,0,1
71,2.348,48.82649,218,540,626,24,1,0
72,2.35058,48.82646,157,509,615,30,1,0
73,2.34635,48.87615,370,537,629,29,0,1
74,2.34902,48.8372,149,589,659,28,0,0
75,2.35848,48.84651,283,305,402,17,0,0
76,2.38256,48.84655,411,385,446,16,1,0
77,2.32689,48.82101,381,582,684,25,1,0
78,2.3445,48.82575,135,643,747,28,0,0
79,2.35932,48.87258,295,512,575,23,1,0
80,2.32243,48.85339,316,463,556,29,1,0
81,2.37135,48.87203,479,593,657,18,0,1
82,2.35423,48.83066,307,467,550,24,0,0
83,2.3862,48.85253,133,514,603,17,0,1
84,2.334,48.8717,268,492,607,27,0,0
85,2.38903,48.82398,179,309,411,25,1,1
86,2.34927,48.85869,108,516,604,25,1,0
87,2.36312,48.82601,351,462,554,22,0,0
88,2.36407,48.81934,491,654,767,15,0,1
89,2.36298,48.8583,477,635,729,29,0,0
90,2.33211,48.88878,386,305,383,25,1,0
91,2.36861,48.85585,493,614,711,24,1,0
92,2.31719,48.83035,425,592,683,16,0,0
93,2.31799,48.8658,473,368,433,19,0,1
94,2.32101,48.85132,194,345,441,23,1,1
95,2.35397,48.84404,300,341,411,28,1,1
96,2.33188,48.88656,129,348,432,15,0,1
97,2.34988,48.85886,479,494,585,24,0,1
98,2.32616,48.85801,352,316,393,29,1,0
99,2.34374,48.85777,490,473,539,23,0,1
100,2.32057,48.88455,202,317,415,20,1,1
