source,destination,distance
0,1,11795
0,2,13705
0,3,10598
0,4,13471
0,5,9205
0,6,9799
0,7,9952
0,8,8135
0,9,15824
0,10,15670
0,11,13308
0,12,12065
0,13,14393
0,14,11342
0,15,11072
0,16,15453
0,17,11508
0,18,14197
0,19,10894
0,20,7857
0,21,15919
0,22,12169
0,23,11409
0,24,16045
0,25,15170
0,26,15830
0,27,13680
0,28,10505
0,29,15421
0,30,15581
0,31,9974
0,32,11033
0,33,10360
0,34,12380
0,35,13413
0,36,14068
0,37,14243
0,38,13040
0,39,9840
0,40,14007
0,41,15156
0,42,10843
0,43,8918
0,44,14392
0,45,15841
0,46,14221
0,47,16119
0,48,11331
0,49,10110
0,50,13038
0,51,8167
0,52,13851
0,53,9272
0,54,12607
0,55,10899
0,56,11706
0,57,11749
0,58,15541
0,59,9221
0,60,8169
0,61,13310
0,62,9845
0,63,13466
0,64,11349
0,65,13156
0,66,14691
0,67,14784
0,68,9989
0,69,11391
0,70,14146
0,71,8573
0,72,8569
0,73,14096
0,74,9763
0,75,10816
0,76,11064
0,77,8139
0,78,8499
0,79,13714
0,80,11737
0,81,13726
0,82,9041
0,83,11772
0,84,13649
0,85,8774
0,86,12153
0,87,8574
0,88,7846
0,89,12147
0,90,15553
0,91,11916
0,92,9315
0,93,13152
0,94,11529
0,95,10528
0,96,15308
0,97,12171
0,98,12201
0,99,12059
0,100,15181
1,0,11795
1,2,2232
1,3,1211
1,4,2753
1,5,2964
1,6,2436
1,7,2969
1,8,3748
1,9,4352
1,10,4347
1,11,1844
1,12,3502
1,13,2627
1,14,3420
1,15,1136
1,16,4589
1,17,3406
1,18,2417
1,19,3648
1,20,3940
1,21,4124
1,22,603
1,23,636
1,24,4274
1,25,3990
1,26,4630
1,27,2057
1,28,2355
1,29,4594
1,30,4559
1,31,3619
1,32,2957
1,33,1576
1,34,2279
1,35,2328
1,36,2408
1,37,2723
1,38,1259
1,39,2467
1,40,2213
1,41,3461
1,42,1229
1,43,3132
1,44,3862
1,45,4707
1,46,3515
1,47,5160
1,48,2039
1,49,2768
1,50,1721
1,51,3730
1,52,2080
1,53,3655
1,54,813
1,55,3662
1,56,1484
1,57,939
1,58,3870
1,59,2677
1,60,3708
1,61,1516
1,62,2443
1,63,2054
1,64,512
1,65,2171
1,66,2915
1,67,3564
1,68,1931
1,69,1458
1,70,3197
1,71,3366
1,72,3313
1,73,2632
1,74,2237
1,75,1011
1,76,1727
1,77,4619
1,78,3533
1,79,1958
1,80,2967
1,81,1978
1,82,2794
1,83,1730
1,84,2804
1,85,3957
1,86,1072
1,87,3238
1,88,3981
1,89,353
1,90,4367
1,91,426
1,92,4333
1,93,3492
1,94,3093
1,95,1395
1,96,4166
1,97,1038
1,98,2706
1,99,1431
1,100,4504
2,0,13705
2,1,2232
2,3,3365
2,4,3589
2,5,4532
2,6,4667
2,7,4024
2,8,5863
2,9,3763
2,10,3969
2,11,408
2,12,5183
2,13,1101
2,14,5324
2,15,3345
2,16,4642
2,17,5264
2,18,1638
2,19,5652
2,20,5907
2,21,2596
2,22,1674
2,23,2845
2,24,2972
2,25,3885
2,26,4335
2,27,2131
2,28,3364
2,29,4678
2,30,4470
2,31,5784
2,32,4966
2,33,3367
2,34,3790
2,35,644
2,36,2149
2,37,538
2,38,1562
2,39,4700
2,40,1241
2,41,2632
2,42,3460
2,43,5327
2,44,4400
2,45,4468
2,46,4034
2,47,4997
2,48,4038
2,49,3823
2,50,671
2,51,5538
2,52,1602
2,53,5881
2,54,1584
2,55,5664
2,56,3394
2,57,2916
2,58,2999
2,59,4490
2,60,5538
2,61,1358
2,62,4675
2,63,245
2,64,2742
2,65,816
2,66,1353
2,67,3548
2,68,3730
2,69,2345
2,70,3621
2,71,5520
2,72,5441
2,73,2665
2,74,4447
2,75,3202
2,76,2701
2,77,6848
2,78,5712
2,79,1662
2,80,4763
2,81,782
2,82,4905
2,83,2060
2,84,3504
2,85,5237
2,86,2742
2,87,5171
2,88,5873
2,89,1964
2,90,4151
2,91,1929
2,92,6533
2,93,4707
2,94,4954
2,95,3613
2,96,4053
2,97,2694
2,98,4319
2,99,3146
2,100,4736
3,0,10598
3,1,1211
3,2,3365
3,4,3432
3,5,2065
3,6,1408
3,7,2458
3,8,2539
3,9,5398
3,10,5336
3,11,2961
3,12,3456
3,13,3837
3,14,3127
3,15,809
3,16,5425
3,17,3174
3,18,3600
3,19,3193
3,20,2752
3,21,5325
3,22,1694
3,23,865
3,24,5451
3,25,4918
3,26,5581
3,27,3137
3,28,2040
3,29,5418
3,30,5448
3,31,2869
3,32,2572
3,33,822
3,34,2607
3,35,3330
3,36,3514
3,37,3880
3,38,2443
3,39,1472
3,40,3418
3,41,4595
3,42,615
3,43,1964
3,44,4550
3,45,5638
3,46,4245
3,47,6044
3,48,1856
3,49,2301
3,50,2774
3,51,2619
3,52,3255
3,53,2696
3,54,2023
3,55,3207
3,56,1651
3,57,1351
3,58,4995
3,59,1621
3,60,2585
3,61,2715
3,62,1442
3,63,3160
3,64,754
3,65,3125
3,66,4126
3,67,4495
3,68,1016
3,69,1701
3,70,4004
3,71,2166
3,72,2105
3,73,3642
3,74,1104
3,75,229
3,76,1722
3,77,3526
3,78,2348
3,79,3121
3,80,2868
3,81,3186
3,82,1583
3,83,2166
3,84,3542
3,85,3157
3,86,1737
3,87,2077
3,88,2821
3,89,1558
3,90,5307
3,91,1436
3,92,3456
3,93,3835
3,94,2897
3,95,388
3,96,5086
3,97,1736
3,98,2847
3,99,1860
3,100,5274
4,0,13471
4,1,2753
4,2,3589
4,3,3432
4,5,5491
4,6,3706
4,7,5691
4,8,5421
4,9,2475
4,10,2237
4,11,3445
4,12,2081
4,13,2970
4,14,2600
4,15,2675
4,16,2035
4,17,2459
4,18,2225
4,19,3083
4,20,5926
4,21,3516
4,22,3016
4,23,2616
4,24,3301
4,25,1710
4,26,2361
4,27,1487
4,28,5102
4,29,2018
4,30,2120
4,31,3746
4,32,2616
4,33,4145
4,34,1098
4,35,4106
4,36,1648
4,37,3747
4,38,2143
4,39,3652
4,40,2492
4,41,2321
4,42,2916
4,43,4589
4,44,1125
4,45,2370
4,46,816
4,47,2687
4,48,2140
4,49,5497
4,50,3587
4,51,5970
4,52,2061
4,53,4294
4,54,2465
4,55,3087
4,56,1862
4,57,2087
4,58,2539
4,59,5041
4,60,5924
4,61,2254
4,62,3651
4,63,3602
4,64,2831
4,65,4113
4,66,3048
4,67,1364
4,68,4428
4,69,4187
4,70,678
4,71,4967
4,72,5016
4,73,1200
4,74,3838
4,75,3218
4,76,4477
4,77,5468
4,78,4997
4,79,1957
4,80,2001
4,81,2825
4,82,4649
4,83,4362
4,84,204
4,85,6567
4,86,1742
4,87,5373
4,88,6082
4,89,2562
4,90,2086
4,91,3055
4,92,4558
4,93,1184
4,94,2253
4,95,3277
4,96,1839
4,97,1760
4,98,1423
4,99,1579
4,100,1847
5,0,9205
5,1,2964
5,2,4532
5,3,2065
5,4,5491
5,6,2609
5,7,1049
5,8,2186
5,9,7316
5,10,7300
5,11,4146
5,12,5347
5,13,5337
5,14,4877
5,15,2860
5,16,7463
5,17,4965
5,18,5314
5,19,4790
5,20,1728
5,21,6923
5,22,3144
5,23,2884
5,24,7148
5,25,6918
5,26,7571
5,27,5021
5,28,1355
5,29,7459
5,30,7467
5,31,4139
5,32,4307
5,33,1391
5,34,4660
5,35,4209
5,36,5368
5,37,5066
5,38,4186
5,39,2714
5,40,5039
5,41,6401
5,42,2636
5,43,2359
5,44,6612
5,45,7639
5,46,6302
5,47,8067
5,48,3805
5,49,1092
5,50,3861
5,51,1123
5,52,4998
5,53,3598
5,54,3697
5,55,4804
5,56,3708
5,57,3404
5,58,6814
5,59,626
5,60,1156
5,61,4402
5,62,2686
5,63,4289
5,64,2696
5,65,3952
5,66,5640
5,67,6491
5,68,1067
5,69,2193
5,70,6044
5,71,2178
5,72,1993
5,73,5586
5,74,2205
5,75,2273
5,76,1860
5,77,3823
5,78,2445
5,79,4891
5,80,4767
5,81,4671
5,82,1683
5,83,2569
5,84,5594
5,85,1108
5,86,3770
5,87,1132
