id,longitude,latitude,order_weight,window_start,window_end,delivery_duration,small_street,fresh_product
0,2.3499,48.7494,,,,,,
1,2.34453,48.84279,274,609,688,24,0,0
2,2.36885,48.84703,112,328,428,22,0,0
3,2.35424,48.8538,442,362,440,30,1,1
4,2.3715,48.86554,212,415,508,24,0,0
5,2.32079,48.88173,482,378,477,19,1,0
6,2.36616,48.87154,241,323,394,30,0,1
7,2.36805,48.87848,129,551,617,24,0,1
8,2.38772,48.88942,396,450,557,24,0,0
9,2.36738,48.86097,220,492,602,22,1,0
10,2.31503,48.8786,480,397,472,29,1,1
