source,destination,distance
0,1,10392
0,2,10944
0,3,11613
0,4,13011
0,5,14868
0,6,13633
0,7,14414
0,8,15814
0,9,12472
0,10,14592
1,0,10392
1,2,1841
1,3,1415
1,4,3208
1,5,4665
1,6,3567
1,7,4325
1,8,6072
1,9,2623
1,10,4529
2,0,10944
2,1,1841
2,3,1307
2,4,2067
2,5,5220
2,6,2732
2,7,3498
2,8,4911
2,9,1554
2,10,5275
3,0,11613
3,1,1415
3,2,1307
3,4,1816
3,5,3954
3,6,2157
3,7,2924
3,8,4657
3,9,1249
3,10,3979
4,0,13011
4,1,3208
4,2,2067
4,3,1816
4,5,4123
4,6,773
4,7,1461
4,8,2908
4,9,591
4,10,4378
5,0,14868
5,1,4665
5,2,5220
5,3,3954
5,4,4123
5,6,3506
5,7,3475
5,8,4968
5,9,4116
5,10,546
6,0,13633
6,1,3567
6,2,2732
6,3,2157
6,4,773
6,5,3506
6,7,784
6,8,2537
6,9,1179
6,10,3821
7,0,14414
7,1,4325
7,2,3498
7,3,2924
7,4,1461
7,5,3475
7,6,784
7,8,1884
7,9,1948
7,10,3877
8,0,15814
8,1,6072
8,2,4911
8,3,4657
8,4,2908
8,5,4968
8,6,2537
8,7,1884
8,9,3496
8,10,5450
9,0,12472
9,1,2623
9,2,1554
9,3,1249
9,4,591
9,5,4116
9,6,1179
9,7,1948
9,8,3496
9,10,4302
10,0,14592
10,1,4529
10,2,5275
10,3,3979
10,4,4378
10,5,546
10,6,3821
10,7,3877
10,8,5450
10,9,4302
